dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
OpTC,0.4,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.876401100016665,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.5,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.72795099997893,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.55,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.734774500015192,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.6,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.7933077000197954,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.65,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.8543929000152275,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.7,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,8.048665900016204,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.75,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.90888120001182,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.8,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.4398890000302345,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
OpTC,0.9,0.04723621318708239,0.9986444606312034,0.9998999899989999,,0.0,0.14885403700438837,0.14797315757516108,,,,0.9948189360615275,0.0804455210307856,0.14885403700438835,24,0,0,0.0,0.9937993884086609,1.0,,gaec,False,7.49337270000251,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477
SQTK_SIEM_kcluster,0.4,0.18391197423284636,,0.5614617940199336,,0.0,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,18.00092979997862,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0
