dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,latency_s,git_hash
CICIDS2017,0.5,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.13730944693088531,0.13371196389198303,0.11685598194599155,4.608689099899493,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.55,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12814587354660034,0.1271606832742691,0.11358034163713458,4.545543999993242,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.6,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11780936270952225,0.11597377806901932,0.10798688903450969,4.526738699991256,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.65,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.13729998469352722,0.1354302018880844,0.11771510094404224,4.607152399956249,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.7,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.1186726838350296,0.1156383827328682,0.10781919136643413,4.607181799947284,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.75,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12856586277484894,0.12732568010687828,0.11366284005343917,4.637643299996853,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.8,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12328142672777176,0.12239459156990051,0.11119729578495029,4.626570599968545,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICIDS2017,0.9,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.1410800814628601,0.13929882645606995,0.119649413228035,4.6926093000220135,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.4,0.0,0.0,1,0,1,1.0,0.16398249566555023,0.1433265507221222,0.12166327536106113,5.1917012999765575,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.5,0.0,0.0,1,0,1,1.0,0.1393997222185135,0.12605655193328857,0.11302827596664432,3.97490520006977,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.55,0.0,0.0,1,0,1,1.0,0.14701497554779053,0.13126102089881897,0.11563051044940952,4.000789700075984,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.6,0.0,0.0,1,0,1,1.0,0.14036062359809875,0.12616167962551117,0.11308083981275562,3.9539376000175253,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.65,0.0,0.0,1,0,1,1.0,0.17504531145095825,0.15749870240688324,0.12874935120344164,3.9516877999994904,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.7,0.0,0.0,1,0,1,1.0,0.1380712240934372,0.12872973084449768,0.11436486542224887,3.927879200084135,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.75,0.0,0.0,1,0,1,1.0,0.1433740258216858,0.1332520842552185,0.11662604212760928,3.938435300020501,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.8,0.0,0.0,1,0,1,1.0,0.16665194928646088,0.14607658982276917,0.12303829491138461,3.9881015999708325,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.9,0.0,0.0,1,0,1,1.0,0.16489334404468536,0.14038841426372528,0.12019420713186267,3.9560821999330074,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.4,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11985114961862564,0.11905833333730698,0.10952916666865352,3.797284199972637,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.5,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11773078888654709,0.11536667495965958,0.10768333747982982,3.6183365000179037,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.55,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12368316203355789,0.1228165477514267,0.11140827387571338,3.6765574000310153,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.6,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.1193573921918869,0.11876526474952698,0.10938263237476352,3.636496099992655,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.65,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11645212024450302,0.11453181505203247,0.10726590752601627,3.6374678999418393,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.7,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12513819336891174,0.12284842133522034,0.1114242106676102,3.6370765999890864,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.75,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12540274858474731,0.12352088838815689,0.11176044419407848,3.6288876000326127,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.8,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11443275958299637,0.11347473412752151,0.10673736706376079,3.6551917999750003,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
CICAPT-IIoT-2024,0.9,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12104690819978714,0.11806147545576096,0.10903073772788051,3.672878000070341,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.4,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11847434937953949,0.11774846911430359,0.10887423455715182,3.6980657998938113,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.5,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11598876118659973,0.11374390125274658,0.10687195062637332,3.673388499999419,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.55,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.1276305615901947,0.1262567639350891,0.11312838196754459,3.684325899928808,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.6,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11729153245687485,0.11532402783632278,0.10766201391816142,3.6554822999751195,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.65,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11000093072652817,0.10953507572412491,0.10476753786206248,3.663234499981627,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.7,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11437694728374481,0.11294160038232803,0.10647080019116405,3.5792933999327943,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.75,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.12864071130752563,0.12477309256792068,0.11238654628396037,3.5534115000627935,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.8,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.127863347530365,0.1272200345993042,0.11361001729965213,3.678803899907507,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Datasense-IIoT-2025,0.9,0.00037468836050962126,0.000449224914382686,2,0,2,1.0,0.11387290805578232,0.11199687421321869,0.10599843710660938,3.547448900062591,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.4,0.0,0.28049931335293016,2000,0,2000,1.0,0.12499289214611053,0.12168844044208527,0.11084422022104266,1.6205261000432074,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.5,0.0,0.28049931335293016,2000,0,2000,1.0,0.1283615380525589,0.12215068191289902,0.11107534095644954,1.621040300000459,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.55,0.0,0.28049931335293016,2000,0,2000,1.0,0.11057500541210175,0.11012959480285645,0.10506479740142825,1.643600199953653,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.6,0.0,0.28049931335293016,2000,0,2000,1.0,0.13951878249645233,0.1371888816356659,0.11859444081783298,1.6646573999896646,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.65,0.0,0.28049931335293016,2000,0,2000,1.0,0.11909616738557816,0.11774437129497528,0.10887218564748767,1.6299785999581218,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.7,0.0,0.28049931335293016,2000,0,2000,1.0,0.1314004510641098,0.12929804623126984,0.11464902311563495,1.6504788999445736,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.75,0.0,0.28049931335293016,2000,0,2000,1.0,0.13232645392417908,0.1281309574842453,0.11406547874212268,1.7113018000964075,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.8,0.0,0.28049931335293016,2000,0,2000,1.0,0.11144524812698364,0.10831396281719208,0.10415698140859607,1.6667672001058236,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
YNU-IoTMal-2026,0.9,0.0,0.28049931335293016,2000,0,2000,1.0,0.11344746500253677,0.11264054477214813,0.1063202723860741,1.9680633000098169,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
