dataset,gate_value,ari,binary_ari,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,47.06682000000728,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.5,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,9.94934380002087,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.55,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,9.816011600021739,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.6,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,10.026912499975879,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.65,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,10.046326299954671,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.7,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,9.932381199963856,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.75,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,10.024795999983326,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.8,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,10.119066999992356,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.9,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,10.146456899994519,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.4,0.05527832408422184,,0.4075830451042057,0.4007453375250813,,,,0.3832221643882917,0.43525134590836057,0.4075830451042056,50,50,0,0.0,0.9848900437355042,1.0,,gaec,False,64.68122550001135,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.5,0.0788334563319896,,0.4259492483215793,0.4202281137494549,,,,0.40625521944207243,0.44764996997302436,0.42594924832157927,44,44,0,0.0,0.9806090593338013,1.0,,gaec,False,39.35763530002441,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.55,-0.013047274353808577,,0.2765024276968784,0.26813926658171816,,,,0.22292863015921177,0.36397135226668326,0.2765024276968784,43,43,0,0.0,0.9819294810295105,1.0,,gaec,False,39.33145679999143,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.6,0.05359951353292884,,0.3900474202468053,0.3827517166821368,,,,0.3543538249842543,0.43373719842731534,0.3900474202468052,50,50,0,0.0,0.9845653772354126,1.0,,gaec,False,39.34796479996294,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.65,0.11202713430778188,,0.40747508138544686,0.4006479037018039,,,,0.3996406774656916,0.41562279261507434,0.40747508138544686,52,52,0,0.0,0.9775809645652771,1.0,,gaec,False,39.711378500040155,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.7,0.048249165747919896,,0.3648594544837966,0.35773992161354523,,,,0.30492292389702613,0.454123227700156,0.36485945448379664,43,43,0,0.0,0.9838899374008179,1.0,,gaec,False,39.17654620000394,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.75,0.10954058197667492,,0.45715755919335804,0.45144250470524394,,,,0.4416254261480149,0.4738220600128173,0.4571575591933581,47,47,0,0.0,0.9828135371208191,1.0,,gaec,False,38.84312979999231,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.8,-0.007365796511561653,,0.29548879387497506,0.2867935805305664,,,,0.2551304113523351,0.35101487815765475,0.29548879387497506,49,49,0,0.0,0.9847842454910278,1.0,,gaec,False,38.492610300017986,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.9,0.04796213297795484,,0.3943726394765317,0.38763577122624393,,,,0.36045574929876495,0.4353352787723501,0.3943726394765317,47,47,0,0.0,0.9812148809432983,1.0,,gaec,False,38.93864469998516,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.4,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.940131700015627,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.5,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.9657284000422806,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
