dataset,method,runtime_seconds,n_true_classes,ari,nmi,ami,homogeneity,completeness,v_measure,silhouette,coverage,binary_ari,seed
TON_IoT,K-Means,0.0393526554107666,10,0.12944318570720875,0.2821324375118284,0.2807064344314996,0.2710749923721295,0.29413033528111976,0.2821324375118284,0.0,1.0,,43
TON_IoT,DBSCAN,0.048697471618652344,10,0.10234384123320103,0.41042068228776935,0.38320290770081733,0.9999999999999996,0.2581945283979028,0.41042068228776946,1.0,0.1669,,43
TON_IoT,Spectral,31.341439962387085,10,0.06643934057399746,0.2063167482373915,0.2046684933904439,0.19087868097690008,0.2244717909540303,0.20631674823739152,0.0,1.0,,43
TON_IoT,HDBSCAN,0.18328547477722168,10,0.12576929713175572,0.39206424705569815,0.37900363264332215,0.5450909914262583,0.3061241366206728,0.39206424705569815,0.2513462314927572,0.8197,,43
TON_IoT,K-Means-emb,0.17985892295837402,10,0.6532209721827611,0.8065954843256623,0.8062307714602762,0.8154455664697428,0.7979354406807265,0.8065954843256623,0.0,1.0,,43
TON_IoT,Spectral-emb,1.2841644287109375,10,0.012836329210267557,0.07197954984118779,0.06948499395598055,0.051967333502642744,0.1170574732290368,0.07197954984118779,0.0,1.0,,43
TON_IoT,HDBSCAN-emb,0.35230016708374023,10,0.056372902231866695,0.5591389853021553,0.5429195370228985,0.9993560797133568,0.3881559856839331,0.5591389853021553,0.17791074514389038,0.9616,,43
TON_IoT,MITRE-CORE,6.878042936325073,10,0.3589733327808358,0.702513596936647,0.7000078557063348,0.9273371940924849,0.5654306176217028,0.7025135969366468,0.0,1.0,,43
SQTK_SIEM_kcluster,K-Means,0.022321462631225586,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,43
SQTK_SIEM_kcluster,DBSCAN,0.2643435001373291,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,43
SQTK_SIEM_kcluster,Spectral,0.24711370468139648,11,-0.0015195835806132835,0.004145087483953247,-0.0011029087335027439,0.004118165064040916,0.004172364229803677,0.004145087483953248,0.0,1.0,,43
SQTK_SIEM_kcluster,HDBSCAN,0.047088623046875,11,0.0,0.0,,,,,0.0,0.0,,43
SQTK_SIEM_kcluster,K-Means-emb,0.14389467239379883,11,0.16392845712963913,0.3413084734604235,0.33797442224689156,0.35840234046155284,0.32577094861799005,0.3413084734604235,0.07279558479785919,1.0,,43
SQTK_SIEM_kcluster,Spectral-emb,1.8260302543640137,11,0.1397269483435642,0.2872622513311682,0.2834531809433723,0.2759162145550705,0.2995814329386694,0.2872622513311682,-0.43356627225875854,1.0,,43
SQTK_SIEM_kcluster,HDBSCAN-emb,0.36995863914489746,11,0.19203442341665408,0.47702999373611127,0.46084929319650303,0.7589150832702091,0.3478335869633804,0.4770299937361112,-0.22066769003868103,0.8052941176470588,,43
SQTK_SIEM_kcluster,MITRE-CORE,2.6263790130615234,11,0.3638524403261379,0.5233726710547166,0.5170868270492737,0.6641254404196494,0.43184807520239593,0.5233726710547166,-0.3618333041667938,1.0,,43
OpTC,K-Means,0.011494874954223633,2,0.07483915547980236,0.11112701325983906,0.11101980683786311,0.25920572581542806,0.07072393496035687,0.11112701325983908,0.0,1.0,0.0,43
OpTC,DBSCAN,0.10961198806762695,2,0.0023459822159283233,0.09628518346784358,0.07738047133585038,0.7668088516384514,0.0513676062756744,0.09628518346784357,1.0,0.2506,0.6350405531331428,43
OpTC,Spectral,118.9772617816925,2,0.12832980829624244,0.03608639274529209,0.03589347153738188,0.050864783003763556,0.02796218472018721,0.036086392745292094,0.0,1.0,0.0,43
OpTC,HDBSCAN,0.25456976890563965,2,0.08374519320702489,0.05417573429930989,0.05318788966094978,0.31797713940476763,0.029610313374738996,0.054175734299309886,0.6478734462815674,0.9335,0.0,43
OpTC,K-Means-emb,0.04275941848754883,2,0.07483915547980236,0.11112701325983906,0.11101980683786311,0.25920572581542806,0.07072393496035687,0.11112701325983908,0.0,1.0,0.0,43
OpTC,Spectral-emb,0.24915695190429688,2,-0.05423129201530324,0.02622772934270138,0.02607448367688266,0.04693621280371866,0.018198474585052134,0.02622772934270138,0.0,1.0,0.0,43
OpTC,HDBSCAN-emb,0.18883633613586426,2,0.02136841354046013,0.11687090292216545,0.11532332393453561,1.0000000000000044,0.062062076946036826,0.11687090292216547,1.0880380614253227e-05,0.9993,1.0,43
OpTC,MITRE-CORE,8.52797794342041,2,0.05536292582068203,0.19455073756842828,0.19423941605171857,1.000000000000005,0.1077575214195762,0.19455073756842825,0.0,1.0,1.0,43
UNSW-NB15,K-Means,0.026302576065063477,8,-0.0036701514664764933,0.010330274000242544,0.00800572803978286,0.005407138262784055,0.1154068768012776,0.010330274000242544,0.0,1.0,,44
UNSW-NB15,DBSCAN,0.1287245750427246,8,0.4885938107305088,0.5149871392869844,0.49967601116093174,0.7669455592741671,0.3876391766040499,0.5149871392869844,1.0,0.7186,,44
UNSW-NB15,Spectral,11.803136348724365,8,0.3616256633283916,0.43877799577144383,0.43772741859701725,0.3923145727459731,0.49772568944912154,0.43877799577144383,0.0,1.0,,44
UNSW-NB15,HDBSCAN,0.16046953201293945,8,0.4109892470888056,0.44790366770223744,0.43844761791083414,0.6769105091594131,0.33467810231510786,0.44790366770223744,0.9142784258494856,0.8509,,44
UNSW-NB15,K-Means-emb,0.2049250602722168,8,0.5991293654542567,0.6292550522135807,0.6286806689692905,0.665124582519737,0.5970563750026024,0.6292550522135807,0.0,1.0,,44
UNSW-NB15,Spectral-emb,6.180272102355957,8,0.17579327763826613,0.4592809228412933,0.4582795552489663,0.40489464825196314,0.5305447791716691,0.45928092284129335,0.0,1.0,,44
UNSW-NB15,HDBSCAN-emb,1.2848005294799805,8,0.42553840661422576,0.7196145396256124,0.7180524609714284,0.9864886612586828,0.5663895509803594,0.7196145396256125,-0.22474122047424316,0.8301,,44
UNSW-NB15,MITRE-CORE,7.422428846359253,8,0.3860127249761295,0.6006586413800864,0.5999657524465005,0.48612546667454587,0.7857952618063152,0.6006586413800864,0.0,1.0,,44
NSL-KDD,K-Means,0.02996039390563965,10,0.01894552528543771,0.08015272628102246,0.07794788871489665,0.04367458786435106,0.48643950214317205,0.08015272628102248,0.0,1.0,,44
