dataset,method,runtime_seconds,n_true_classes,ari,nmi,ami,homogeneity,completeness,v_measure,silhouette,coverage,binary_ari,seed
UNSW-NB15,K-Means,1.7340950965881348,8,-0.003727642383891553,0.012427852731116532,0.010095845546138274,0.006540853753764495,0.12432235737967291,0.012427852731116532,0.0,1.0,,42
UNSW-NB15,DBSCAN,0.1215975284576416,8,0.4972989460890841,0.5194537335281606,0.5048405360292038,0.7692683954933456,0.39211655733026146,0.5194537335281606,1.0,0.7066,,42
UNSW-NB15,Spectral,6.294915676116943,8,0.2795710173672024,0.36233427018700287,0.36119263140963126,0.3390852801113685,0.38900601791645706,0.3623342701870028,0.0,1.0,,42
UNSW-NB15,HDBSCAN,0.17511320114135742,8,0.41885858691112615,0.45655739142655427,0.44704176590353173,0.6883808240114189,0.3415386867272449,0.45655739142655427,0.9138566417556389,0.837,,42
UNSW-NB15,K-Means-emb,0.1963958740234375,8,0.6078311371713028,0.6380233650596425,0.637460580174292,0.6736849454539547,0.6059474745076797,0.6380233650596425,0.0,1.0,,42
UNSW-NB15,Spectral-emb,3.761112928390503,8,0.13366372431003234,0.3970542503452115,0.3958335803020598,0.33218670168935954,0.4934032609230374,0.3970542503452115,0.0,1.0,,42
UNSW-NB15,HDBSCAN-emb,1.0781738758087158,8,0.4309904312069985,0.7201699399110212,0.718541862281474,0.987181422173628,0.5668493123931584,0.7201699399110211,-0.133627787232399,0.8249,,42
UNSW-NB15,MITRE-CORE,7.746707916259766,8,0.5016967804506702,0.5715199088936656,0.5708450836216604,0.520067613666121,0.6342707621495877,0.5715199088936656,0.0,1.0,,42
NSL-KDD,K-Means,0.03245806694030762,10,0.020548463564067487,0.0852881080432452,0.08302254902999744,0.04652312533256513,0.51144578454645,0.08528810804324521,0.0,1.0,,42
NSL-KDD,DBSCAN,0.21681642532348633,10,0.7529144109805038,0.607356258089711,0.600504176296612,1.0000000000000004,0.43611746479871477,0.6073562580897109,1.0,0.577,,42
NSL-KDD,Spectral,10.918212413787842,10,0.2605141600067989,0.38790977600158694,0.38662661753190325,0.5321879608603324,0.30517552725218483,0.387909776001587,0.0,1.0,,42
NSL-KDD,HDBSCAN,0.2205653190612793,10,0.5052919802017806,0.5493770358729377,0.5466464680328362,0.9843606049580602,0.3810105549251354,0.5493770358729378,0.7678806774138089,0.8186,,42
NSL-KDD,K-Means-emb,0.22426152229309082,10,0.3183543816630974,0.5962495298236178,0.5954533204712745,0.9433043914439204,0.43588233164008444,0.5962495298236177,0.0,1.0,,42
NSL-KDD,Spectral-emb,3.1197168827056885,10,0.3737623676973128,0.5435518164038879,0.5425972472283601,0.7653880959715091,0.4214118898675199,0.5435518164038878,0.0,1.0,,42
NSL-KDD,HDBSCAN-emb,1.0995144844055176,10,0.4008401717600864,0.5806904769435947,0.5795628853210895,0.9985226094209705,0.4093837180411978,0.5806904769435947,-0.01980152167379856,0.9398,,42
NSL-KDD,MITRE-CORE,6.76127552986145,10,0.5978912144589102,0.6750207023594037,0.674101453133666,0.9267495528313758,0.5308329217658743,0.6750207023594037,0.0,1.0,,42
CICIDS2017,K-Means,0.05810356140136719,16,0.05868227241158216,0.2198891737406959,0.2161978649213596,0.36952086653723115,0.15651206290322697,0.2198891737406959,0.0,1.0,,42
CICIDS2017,DBSCAN,0.055596113204956055,16,0.9774276630913009,0.8637387648468515,0.8630397145289512,1.0,0.7601586132879332,0.8637387648468515,1.0,0.1023,,42
CICIDS2017,Spectral,7.2856996059417725,16,0.05503352904854518,0.2649338576513837,0.2612712220503143,0.4428396026843853,0.1890037592571619,0.2649338576513837,0.0,1.0,,42
CICIDS2017,HDBSCAN,0.18958282470703125,16,0.10286961495818571,0.2762558742873755,0.2679522386566214,0.5901800498851375,0.18033397154061787,0.2762558742873755,0.333845217313994,0.7921,,42
CICIDS2017,K-Means-emb,0.26729798316955566,16,0.13296828421563012,0.5245482822301354,0.5222595451128011,0.9386226746312099,0.36397869385511544,0.5245482822301354,0.0,1.0,,42
CICIDS2017,Spectral-emb,1.1214804649353027,16,-0.07304857142583904,0.12661533797810706,0.12209075037456464,0.14369634039630544,0.11316371067586782,0.12661533797810703,0.0,1.0,,42
