dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,33.94329530000687,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.5,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.181691600009799,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.55,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.191183599992655,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.6,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.194548200001009,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.65,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.120660100015812,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.7,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.1158127000089735,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.75,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.142207299999427,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.8,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.142374999995809,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
UNSW-NB15,0.9,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.5295586999855,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.4,0.15974640859401906,,0.636,-0.3260431318477711,0.9173020527859238,0.47027660044776,0.46348215028803214,,,,0.5326974976886067,0.42095013431692524,0.47027660044775993,67,67,0,0.0,0.9422347545623779,1.0,,gaec,False,53.51710650004679,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
