dataset,gate_value,ari,binary_ari,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,48.765230700024404,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.5,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,11.211385099973995,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.55,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,12.306714900012594,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.6,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,14.635343500005547,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.65,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,14.568772999977227,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.7,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,13.998248200048693,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.75,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,14.215992700017523,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.8,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,16.513336200034246,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.9,0.36743453670103926,,0.5595397781402296,0.5560344065196358,attack_cat,0.3678204774714929,0.5563551665004804,0.6058238056543028,0.5198258640152723,0.5595397781402297,8,0,0,0.0,1.0,1.0,,gaec,False,10.218895999947563,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.4,-0.0032603726683096703,,0.29197533364760175,0.2838433634561179,,,,0.24223452006741306,0.36742242698902816,0.2919753336476017,44,44,0,0.0,0.9805911183357239,1.0,,gaec,False,65.31832010002108,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.5,0.04009283569567027,,0.36935164926579267,0.3617660919245596,,,,0.33249028919440893,0.4154053429179455,0.3693516492657926,50,50,0,0.0,0.9803342819213867,1.0,,gaec,False,39.76995950000128,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.55,0.018719193086639226,,0.33943854626448583,0.33215551221571665,,,,0.28625215221749634,0.41689957021787394,0.33943854626448583,43,43,0,0.0,0.9803932905197144,1.0,,gaec,False,40.34625080000842,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.6,0.06458231035502957,,0.40977350901206816,0.40280478684795457,,,,0.39140665291097954,0.42994897323445064,0.4097735090120681,52,52,0,0.0,0.9816288948059082,1.0,,gaec,False,39.91679350001505,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.65,0.061522944359851485,,0.3909685404484946,0.3844814540745327,,,,0.35030697307753866,0.44230918156375476,0.3909685404484946,44,44,0,0.0,0.9825524091720581,1.0,,gaec,False,38.14151159999892,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.7,-0.007258826956778695,,0.310838761807778,0.3021607941585547,,,,0.26888111104564755,0.36831216801694255,0.310838761807778,50,50,0,0.0,0.9799332618713379,1.0,,gaec,False,39.204922000004444,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.75,0.10168696699290859,,0.4583528647949975,0.45270565372425714,,,,0.44666557399196455,0.47066819967100476,0.45835286479499754,47,47,0,0.0,0.9831058979034424,1.0,,gaec,False,40.277310299978126,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.8,0.050301410228119514,,0.3417911217235939,0.33410539861771527,,,,0.312290267199546,0.37744708940704214,0.34179112172359394,49,49,0,0.0,0.9773668646812439,1.0,,gaec,False,39.45764000003692,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.9,0.048992637684413524,,0.3773486082699485,0.36981976338017325,,,,0.3407142681494202,0.4228100675283045,0.3773486082699485,50,50,0,0.0,0.9825502038002014,1.0,,gaec,False,39.100780299981125,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.4,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.338642499991693,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.5,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.173748500004876,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.55,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.234922799980268,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.6,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.098150499979965,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.65,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.375110599969048,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.7,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.287496899953112,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
