dataset,gate_value,ari,binary_ari,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,53.822940599988215,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.5,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.578712900023675,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.55,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.443139400013024,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.6,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.770039399998495,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.65,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.469850199995562,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.7,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.116538000002038,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.75,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.416378000023542,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.8,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.244625899998937,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.9,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,9.699463900004048,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.4,-0.014708450082558071,,0.2922771539172783,0.2831699251274111,,,,0.24725325101194615,0.3573491047623196,0.29227715391727827,50,50,0,0.0,0.9773442149162292,1.0,,gaec,False,62.4846983999887,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.5,0.04280322790320782,,0.39498600953835966,0.38821984050322356,,,,0.3658213558244188,0.4292037456411071,0.39498600953835966,48,48,0,0.0,0.9824183583259583,1.0,,gaec,False,37.622957699990366,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.55,-0.005099916126621952,,0.3114832918645538,0.3033134080211516,,,,0.2629161060580572,0.38205918696983776,0.31148329186455387,46,46,0,0.0,0.9823741912841797,1.0,,gaec,False,37.72645760001615,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.6,0.07110181046369733,,0.42104792732589524,0.41442492345396975,,,,0.4148647206978035,0.42741823340864515,0.42104792732589513,52,52,0,0.0,0.9810460209846497,1.0,,gaec,False,37.02599339999142,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.65,0.054076300536696216,,0.4015712903706052,0.39436888379614876,,,,0.37758236252551586,0.4288151918815773,0.40157129037060524,52,52,0,0.0,0.9800556302070618,1.0,,gaec,False,37.63395479999599,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.7,0.04861219111575621,,0.3989594723074157,0.3927011810701795,,,,0.36402974684210393,0.441303878063405,0.39895947230741563,44,44,0,0.0,0.9850584268569946,1.0,,gaec,False,37.73980089998804,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.75,0.06419399211432762,,0.39229485033140016,0.3861976378562402,,,,0.345829543614862,0.45318422286576177,0.3922948503314001,41,41,0,0.0,0.9862067699432373,1.0,,gaec,False,38.44643540002289,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.8,-0.011577490824383443,,0.29941060219977794,0.291285524231548,,,,0.25148665480752774,0.3698996329790336,0.299410602199778,45,45,0,0.0,0.9813510179519653,1.0,,gaec,False,38.39333250001073,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.9,0.03974864314082325,,0.38264417717252897,0.3759928672156492,,,,0.3385750044217752,0.4399021684666466,0.38264417717252897,44,44,0,0.0,0.9821319580078125,1.0,,gaec,False,38.17088249998051,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.4,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.008720400015591,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.5,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.9268720999825746,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.55,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.7947772000043187,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.6,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.737489999999525,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.65,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.785974600003101,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.7,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.0332122999825515,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.75,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,4.039608400024008,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.8,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.554147600021679,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
NSL-KDD,0.9,0.7428034219139222,,0.6407718675841652,0.6379001967959177,,,,0.9626113383617076,0.4802163388826624,0.6407718675841652,20,20,0,0.0,0.9736189842224121,1.0,,gaec,False,3.9415437999996357,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.4,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,1.0934294000035152,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.5,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.9321345999778714,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.55,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.9519260000088252,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.6,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.9275254999811295,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.65,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.9603039000066929,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.7,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.993874700012384,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
SQTK_SIEM_kcluster,0.75,0.18391197423284636,,0.38161280681824694,0.34236198847589966,,,,0.40944379413180876,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.9303931999893393,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
