dataset,gate_value,ari,binary_ari,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,26.295710199992754,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.5,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.4932938999991165,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.55,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.479584200002137,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.6,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.490408099998604,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.65,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.61129990000336,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.7,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.59247210000467,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.75,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.685764499998186,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.8,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,6.061582299997099,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
UNSW-NB15,0.9,0.5381949691817287,,0.6669414738053868,0.664230027636069,attack_cat,0.5386671633093318,0.6645313859829637,0.6945720908024873,0.6414250859226207,0.6669414738053869,8,0,0,0.0,1.0,1.0,,gaec,False,5.868339099994046,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.4,-0.001341950417973,,0.3019397445317487,0.29406057750444,,,,0.249127310890994,0.3831672752464132,0.3019397445317487,43,43,0,0.0,0.985551118850708,1.0,,gaec,False,41.6186250000028,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.5,-0.011408674706731,,0.2804578408788611,0.2724270558852884,,,,0.2292224005547778,0.3611906145109605,0.2804578408788611,42,42,0,0.0,0.986257016658783,1.0,,gaec,False,26.47343249998812,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.55,0.0630912686676404,,0.4002441164060618,0.3934156261681207,,,,0.358804432886247,0.4525057161824906,0.4002441164060619,47,47,0,0.0,0.9835434556007384,1.0,,gaec,False,26.598068899998907,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.6,0.0560549960954481,,0.3522670656479865,0.3451848428283918,,,,0.3210929942967285,0.3901452369920286,0.3522670656479866,46,46,0,0.0,0.9817283749580384,1.0,,gaec,False,26.59187930000189,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.65,0.0583350652982631,,0.4034221181478282,0.3964156116525906,,,,0.3665501318894172,0.4485418053148831,0.4034221181478281,49,49,0,0.0,0.9796940684318542,1.0,,gaec,False,26.542070100011188,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.7,-0.0146236220935908,,0.274388444488074,0.2654311081287164,,,,0.2228361979361909,0.3569726015379023,0.274388444488074,46,46,0,0.0,0.9807126522064208,1.0,,gaec,False,26.982087099997443,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.75,0.0816279293075732,,0.4340365728441014,0.4274710956877592,,,,0.4064967974992294,0.4655791199108659,0.4340365728441014,50,50,0,0.0,0.97962886095047,1.0,,gaec,False,32.71506230000523,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
TON_IoT,0.8,-0.0156428384528656,,0.2588848089508625,0.2512423447903419,,,,0.2004787410973387,0.3653123391197499,0.2588848089508625,37,37,0,0.0,0.984228253364563,1.0,,gaec,False,33.679106800002046,302676aa8255fe3a483d3e386b1a44c5cef60515,0,0.0,0
