dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows,seed
TON_IoT,0.6,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,6.60365790000651,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,42
TON_IoT,0.5,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,6.749100600020029,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
TON_IoT,0.65,0.4312227869105366,,0.9226535921552932,0.0044469441746767,0.9687660010240656,0.7184465257358335,0.716747034750583,,,,0.9200505980583928,0.5893143167243511,0.7184465257358333,37,37,0,0.0,0.8998231887817383,1.0,,gaec,False,7.849575599946547,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
NSL-KDD,0.7,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.7477071000030264,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
NSL-KDD,0.8,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.9534143999917437,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
NSL-KDD,0.7,0.7387660782898661,,0.9926928863099076,0.3423871942736767,,0.6697306729768828,0.667607884733793,,,,0.9517740928298036,0.5166341838728479,0.6697306729768827,14,14,0,0.0,0.9650338888168336,1.0,,gaec,False,2.4094212999916635,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,42
UNSW-NB15,0.9,0.4637970680958375,,0.809,-0.4201789023362635,,0.6608727630557796,0.6580832947063374,attack_cat,0.4657710929226136,0.6613612392105106,0.6831590842010623,0.63999457386919,0.6608727630557797,8,0,0,0.0,1.0,1.0,,gaec,False,5.889633400016464,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,42
UNSW-NB15,0.8,0.4396632977880387,,0.7825,-0.1461835765498072,,0.6012744264959249,0.5980909003516819,attack_cat,0.4413980535453293,0.5999887290498149,0.6371981035089431,0.5691851539175244,0.6012744264959249,8,0,0,0.0,1.0,1.0,,gaec,False,6.744981800031383,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
UNSW-NB15,0.7,0.3973380888500556,,0.7635,-0.1680198285384452,,0.5895763178990182,0.5863107344346904,attack_cat,0.3991809805930548,0.5896061808983529,0.6266464262332451,0.5566471126773131,0.5895763178990182,8,0,0,0.0,1.0,1.0,,gaec,False,5.928865599969868,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.55,0.5405997360320319,,0.9717887154861944,-0.1879124996676157,,0.5828078899446838,0.5771931793901803,,,,0.8566389488108012,0.441635722142519,0.5828078899446838,53,53,0,0.0,0.938277781009674,1.0,,gaec,False,39.77621670003282,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,44
CICIDS2017,0.9,0.4838372555720892,,0.9381752701080432,0.0845862285645206,,0.5079041616017101,0.5008740335061317,,,,0.7885831664850631,0.374580418864193,0.5079041616017103,59,59,0,0.0,0.9522499442100524,1.0,,gaec,False,39.12344389996724,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,43
CICIDS2017,0.65,0.3559350079011852,,0.8780512204881953,-0.2320780671544653,,0.4587552584672609,0.452136444063033,,,,0.6819607904855891,0.3456305111289644,0.4587552584672609,48,48,0,0.0,0.9414063692092896,1.0,,gaec,False,38.03322659997502,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,42
SQTK_SIEM_kcluster,0.8,0.1839119742328463,,0.5614617940199336,,0.0,0.3816128068182469,0.3423619884758996,,,,0.4094437941318087,0.3573245065642378,0.3816128068182469,11,0,0,0.0,1.0,1.0,,gaec,False,0.6201385000022128,604c5171fbc2765865d18446665e87b9c1394e9c,0,0.0,0,42
OpTC,0.8,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.313918699976057,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,43
OpTC,0.65,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,7.8543929000152275,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,42
OpTC,0.8,0.0472362131870823,0.9986444606312034,0.999899989999,,0.0,0.1488540370043883,0.147973157575161,,,,0.9948189360615276,0.0804455210307856,0.1488540370043883,24,0,0,0.0,0.9937993884086608,1.0,,gaec,False,8.573941799986642,604c5171fbc2765865d18446665e87b9c1394e9c,6477,0.6477647764776477,6477,44
