dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,33.1890723999968,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.5,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.475562399995397,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.55,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,5.976265599994804,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.6,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.647650600003544,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.65,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,5.976884699994116,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.7,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,5.938441899997997,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.75,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,6.251373100007186,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.8,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,5.941858199992566,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
UNSW-NB15,0.9,0.4006919579333561,,0.7275,-0.26959018796801315,,0.5857886917986239,0.582417481541992,attack_cat,0.40129675497319867,0.5827929675310913,0.6135705457401818,0.5604137249563054,0.585788691798624,8,0,0,0.0,1.0,1.0,,gaec,False,5.946675499988487,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
TON_IoT,0.4,-0.005092528574767913,,0.3330998599159496,-0.1924669907670927,0.1718146718146718,0.24646792060700265,0.23826740383287937,,,,0.1821135954544503,0.3811603033107437,0.2464679206070027,37,37,0,0.0,0.9852716326713562,1.0,,gaec,False,41.202927300008014,8dc124bb3acd08c662ee2b9c87db39694c0bc858,0,0.0,0
