dataset,gate_value,ari,binary_ari,cluster_purity,tactic_coherence,attack_f1,nmi,ami,alt_label_col,alt_ari,alt_ami,homogeneity,completeness,v_measure,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
TON_IoT,0.4,0.1198049903707784,,0.6496,-0.30671013372834766,0.6972477064220184,0.4685466698224203,0.4617729590766261,,,,0.525483263777746,0.4227421679075394,0.4685466698224203,66,66,0,0.0,0.9461867213249207,1.0,,gaec,False,67.3528678000439,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.5,0.11578838091948583,,0.631,-0.22948868134905787,0.6833095577746077,0.44967547825343784,0.44217723735357134,,,,0.49493398197649907,0.41200068668289846,0.4496754782534379,69,69,0,0.0,0.9469945430755615,1.0,,gaec,False,37.565780300006736,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.55,0.13048076721061208,,0.6705,-0.23535054746413306,0.8919567827130852,0.4764377705157651,0.46963816950886367,,,,0.547930768102043,0.4214480102510058,0.47643777051576514,69,69,0,0.0,0.9432777166366577,1.0,,gaec,False,38.09269710001536,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.6,0.11778303291235957,,0.6067,-0.25247969052409575,0.7490421455938697,0.4465007700462045,0.43929120666565763,,,,0.4989665196729368,0.40401867584606116,0.4465007700462044,67,67,0,0.0,0.9405771493911743,1.0,,gaec,False,37.76342620002106,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.65,0.1110575138894732,,0.6119,-0.21594089431902533,0.7493224932249323,0.44029303280855575,0.43312564325589464,,,,0.498780601261746,0.394082482313583,0.44029303280855575,67,67,0,0.0,0.9504359364509583,1.0,,gaec,False,37.977079200034495,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.7,0.10585187573070712,,0.6217,-0.1905678429904026,0.7411471321695761,0.4561379280723519,0.4491800781365002,,,,0.5023838930347285,0.41768843734165156,0.4561379280723518,65,65,0,0.0,0.9421617984771729,1.0,,gaec,False,38.03580029995646,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.75,0.11284445648898561,,0.5998,-0.30237336322871144,0.4113597246127367,0.4360745537806462,0.4292244512882064,,,,0.4655088037844666,0.4101412118778939,0.43607455378064613,60,60,0,0.0,0.9509592056274414,1.0,,gaec,False,37.73344520002138,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.8,0.07561566230251794,,0.6222,-0.2417201469087627,0.4743801652892562,0.4473166286305352,0.43982048229283355,,,,0.501363899005442,0.4037880787856359,0.4473166286305352,70,70,0,0.0,0.9424362182617188,1.0,,gaec,False,37.7610088000074,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
TON_IoT,0.9,0.14039561731308092,,0.6419,-0.2540681966675017,0.4113597246127367,0.46261284993918145,0.4559220705010259,,,,0.5064642488545724,0.4257499682307029,0.4626128499391815,63,63,0,0.0,0.9533208012580872,1.0,,gaec,False,37.809986700012814,f77cab3fc7e8a307d04cc586ecb182a995f29c37,0,0.0,0
