dataset,optimal_gate,optimal_ami,optimal_ari,baseline_ami_gate06,baseline_ari_gate06,ami_delta_vs_baseline,pct_uf_routed_at_optimal,n_clusters_at_optimal
UNSW-NB15,0.4,0.582417481541992,0.4006919579333561,0.582417481541992,0.4006919579333561,0.0,0.0,8
TON_IoT,0.9,0.2874533080642615,0.0076178001674906,0.2520593905160329,-0.0040842588800809,0.035393917548228626,0.0,39
OpTC,0.4,0.1492322143112127,0.0481793958523846,0.1492322143112127,0.0481793958523846,0.0,0.0,25
NSL-KDD,0.4,0.6734404422332259,0.7519827503438545,0.6734404422332259,0.7519827503438545,0.0,0.0,17
SQTK_SIEM_kcluster,0.4,0.3423619884758996,0.1839119742328463,0.3423619884758996,0.1839119742328463,0.0,0.0,11
