dataset,method,runtime_seconds,n_true_classes,ari,nmi,n_pred_clusters,binary_ari,coverage
NSL-KDD,DeepCluster,22.29300642013549,10,0.0013980610912035,0.0031869929780949,10,,1.0
CICIDS2017,DeepCluster,23.76744031906128,16,0.0989101931027839,0.4775791524539838,16,,1.0
TON_IoT,DeepCluster,21.70235514640808,10,0.4764889623906213,0.6845814385537039,10,,1.0
SQTK_SIEM_kcluster,DeepCluster,12.93126916885376,11,0.0099309597180163,0.0380778261056093,11,,1.0
OpTC,DeepCluster,34.21544146537781,2,0.0041536921749249864,0.003270267379348674,2,,1.0
