checkpoint_path,dataset,gate,ari,nmi,binary_ari,silhouette,eval_time_seconds,n_clusters,noise_ratio
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.5/best.pt,UNSW-NB15,0.4,0.010874686212289791,0.3501644786297607,,1.0,233.10728859901428,1040,0.6108211998334674
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.5/best.pt,UNSW-NB15,0.5,0.011092767618554506,0.34908246856679054,,1.0,229.58621311187744,948,0.6211382392024684
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.5/best.pt,UNSW-NB15,0.6,0.011407506334559862,0.34728322121249183,,1.0,224.5086190700531,820,0.6400613661379826
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.5/best.pt,UNSW-NB15,0.7,0.011759926874101604,0.34030974850751883,,1.0,216.829745054245,621,0.6768753457548434
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.5/best.pt,UNSW-NB15,0.8,0.012185956682187419,0.3193134693751145,,1.0,199.24049520492554,327,0.7559213190297762
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.5/best.pt,UNSW-NB15,0.9,0.009786538918504936,0.15916053225733695,,1.0,177.47327613830566,39,0.9523442891280419
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.3,0.007998503349777692,0.3194253337909724,,0.9998309016227722,228.34219670295715,1136,0.6474013493706549
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.4,0.008106901230146913,0.3179215211406154,,1.0,226.47280287742615,1042,0.6573990110698582
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.5,0.008166724048354872,0.3131830562290661,,1.0,227.00477600097656,926,0.6697292703931197
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.6,0.008195235493153628,0.3066523403642745,,1.0,222.05820965766907,772,0.6906085855561449
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.7,0.008063003265968365,0.2948882344846642,,1.0,210.45358610153198,586,0.7226433064713901
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.8,0.005909551673390415,0.22991665662226218,,1.0,199.16563773155212,282,0.7911555198156734
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.5_pseudo0.5/best.pt,UNSW-NB15,0.9,0.0003353716651799309,0.016968470613915564,,1.0,184.60832953453064,64,0.9144067844942141
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.3,0.009825666379036787,0.3454490261251944,,0.9999017119407654,235.4062876701355,1179,0.6160909313851295
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.4,0.00997343885824369,0.345435277895891,,0.9999574422836304,234.89280652999878,1121,0.621052691612344
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.5,0.010189144189051138,0.3455370528719111,,1.0,232.4950954914093,1028,0.6303260503818274
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.6,0.010455174415118002,0.34369818077971,,1.0,226.68956637382507,890,0.6484336236248225
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.7,0.010826455612535408,0.33887021218790303,,1.0,219.162034034729,680,0.6828180516821508
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.8,0.010520312988168056,0.3126604018744659,,1.0,201.34558582305908,346,0.7735270130773749
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup1.0_pseudo0.0/best.pt,UNSW-NB15,0.9,0.002959704880142607,0.09451309963730521,,1.0,183.93958687782288,61,0.9212163726681153
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.3,0.009301809455802472,0.33321283308702004,,1.0,230.9331350326538,1115,0.6218682453048631
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.4,0.00949268532462193,0.3338310779881762,,1.0,227.97199630737305,1045,0.6280561876571937
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.5,0.00977317124999834,0.3347230027859112,,1.0,226.15989422798157,949,0.6383732270261947
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.6,0.010064122183868603,0.33437824548524064,,1.0,222.0725543498993,822,0.658117610826903
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.7,0.010272303928240915,0.3282778104184304,,1.0,210.8101122379303,588,0.6993629556122071
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.8,0.0082115637556935,0.28179204670687796,,1.0,200.35954999923706,289,0.7709206631649187
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo1.0/best.pt,UNSW-NB15,0.9,0.002524948017374069,0.07655318692929904,,1.0,177.96195030212402,52,0.9304326997108492
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.3,0.010860539880803944,0.34469366837278687,,0.9999703764915466,212.90937042236328,1005,0.7080317780781449
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.4,0.01103197805073054,0.34404204793689375,,1.0,211.9311830997467,926,0.715263401029993
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.5,0.011323691135466125,0.34257139685973714,,1.0,208.8615403175354,819,0.7259340371048414
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.6,0.011495158645965875,0.33667965675679257,,1.0,204.91960167884827,677,0.746619444396918
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.7,0.011495189601165213,0.3257151675330809,,1.0,201.25191950798035,455,0.7796921427390057
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.8,0.0081766087999655,0.2597867335655745,,1.0,191.0656614303589,241,0.8284599722825808
hgnn_checkpoints/week4_lambda_ablation/UNSW_sup0.0_pseudo0.0/best.pt,UNSW-NB15,0.9,0.001036392822053749,0.0391603277378666,,1.0,179.53463578224182,59,0.9233208433851752
