dataset,gate_value,ari,binary_ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,confidence_mode,skip_gate_sweep,latency_s,git_hash,bridge_edge_records,bridge_edge_pct,unique_bridge_flows
UNSW-NB15,0.4,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.231610400020145,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.5,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.106068100023549,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.55,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.173778600001242,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.6,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.188716500008013,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.65,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.264497399970423,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.7,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.247508300002664,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.75,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.23920090001775,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.8,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.179066799988504,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
UNSW-NB15,0.9,0.3037655431499054,,0.4557864871022777,5,5,0,0.0,0.9874398708343506,1.0,,gaec,False,15.44719089998398,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.4,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,23.03925909998361,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.5,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.92080739996163,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.55,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.646470999985468,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.6,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,23.21647819998907,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.65,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.910784299951047,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.7,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.71892370004207,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.75,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.67570359999081,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.8,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.766887700010557,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
TON_IoT,0.9,0.7008437829035574,,0.8339820607707241,14,14,0,0.0,0.991134524345398,1.0,,gaec,False,22.59393530001398,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.4,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.51229450001847,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.5,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.287263899983373,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.55,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.208208800002467,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.6,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.549211799982004,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.65,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.25102769996738,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.7,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.274243199964985,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.75,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.31444129999727,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.8,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.28438660001848,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
CICIDS2017,0.9,0.33072189439211097,,0.633575874720938,7,7,0,0.0,0.9963887333869934,1.0,,gaec,False,18.324678000004496,e6ee71f601d33a7a1e23695f85a840e079132c98,0,0.0,0
